"Year","Month","Hospital","Age.Categorisation","TotalPatients"
2016,"Feb","University Hospital Limerick"," 0-15",2414
2016,"Feb","University Hospital Limerick","16-64",12846
2016,"Feb","University Hospital Limerick","65+",4643
2016,"Feb","University Hospital Waterford"," 0-15",2464
2016,"Feb","University Hospital Waterford","16-64",13599
2016,"Feb","University Hospital Waterford","65+",5525
2016,"Feb","Wexford General Hospital"," 0-15",584
2016,"Feb","Wexford General Hospital","16-64",2057
2016,"Feb","Wexford General Hospital","65+",604
2016,"Mar","Bantry General Hospital"," 0-15",59
2016,"Mar","Bantry General Hospital","16-64",983
2016,"Mar","Bantry General Hospital","65+",557
2016,"Mar","Beaumont Hospital","NA",3
2016,"Mar","Beaumont Hospital"," 0-15",573
2016,"Mar","Beaumont Hospital","16-64",19549
2016,"Mar","Beaumont Hospital","65+",6130
2016,"Mar","Cappagh National Orthopaedic Hospital"," 0-15",22
2016,"Mar","Cappagh National Orthopaedic Hospital","16-64",888
2016,"Mar","Cappagh National Orthopaedic Hospital","65+",405
2016,"Mar","Cavan General Hospital"," 0-15",1051
2016,"Mar","Cavan General Hospital","16-64",4980
2016,"Mar","Cavan General Hospital","65+",1706
2016,"Mar","Childrens University Hospital Temple Street"," 0-15",11087
2016,"Mar","Childrens University Hospital Temple Street","16-64",240
2016,"Mar","Childrens University Hospital Temple Street","65+",2
2016,"Mar","Connolly Hospital","NA",2
2016,"Mar","Connolly Hospital"," 0-15",4
2016,"Mar","Connolly Hospital","16-64",8999
2016,"Mar","Connolly Hospital","65+",2080
2016,"Mar","Cork University Hospital"," 0-15",3369
2016,"Mar","Cork University Hospital","16-64",15345
2016,"Mar","Cork University Hospital","65+",5465
2016,"Mar","Croom Orthopaedic Hospital"," 0-15",198
2016,"Mar","Croom Orthopaedic Hospital","16-64",2891
2016,"Mar","Croom Orthopaedic Hospital","65+",1158
2016,"Mar","Ennis Hospital"," 0-15",356
2016,"Mar","Ennis Hospital","16-64",1182
2016,"Mar","Ennis Hospital","65+",448
2016,"Mar","Galway University Hospital"," 0-15",4074
2016,"Mar","Galway University Hospital","16-64",20172
2016,"Mar","Galway University Hospital","65+",6208
2016,"Mar","Kerry General Hospital"," 0-15",711
2016,"Mar","Kerry General Hospital","16-64",4994
2016,"Mar","Kerry General Hospital","65+",1571
2016,"Mar","Letterkenny General Hospital"," 0-15",1694
2016,"Mar","Letterkenny General Hospital","16-64",8773
2016,"Mar","Letterkenny General Hospital","65+",3017
2016,"Mar","Louth County Hospital"," 0-15",118
2016,"Mar","Louth County Hospital","16-64",1799
2016,"Mar","Louth County Hospital","65+",714
2016,"Mar","Mallow General Hospital"," 0-15",243
2016,"Mar","Mallow General Hospital","16-64",1603
2016,"Mar","Mallow General Hospital","65+",550
2016,"Mar","Mater Misericordiae University Hospital"," 0-15",34
2016,"Mar","Mater Misericordiae University Hospital","16-64",17606
2016,"Mar","Mater Misericordiae University Hospital","65+",6957
2016,"Mar","Mayo General Hospital"," 0-15",1257
2016,"Mar","Mayo General Hospital","16-64",3078
2016,"Mar","Mayo General Hospital","65+",1304
2016,"Mar","Mercy University Hospital"," 0-15",527
2016,"Mar","Mercy University Hospital","16-64",3905
2016,"Mar","Mercy University Hospital","65+",1104
2016,"Mar","Midland Regional Hospital Mullingar"," 0-15",1023
2016,"Mar","Midland Regional Hospital Mullingar","16-64",3665
2016,"Mar","Midland Regional Hospital Mullingar","65+",901
2016,"Mar","Midland Regional Hospital Portlaoise"," 0-15",555
2016,"Mar","Midland Regional Hospital Portlaoise","16-64",2328
2016,"Mar","Midland Regional Hospital Portlaoise","65+",690
2016,"Mar","Midland Regional Hospital Tullamore"," 0-15",2630
2016,"Mar","Midland Regional Hospital Tullamore","16-64",7582
2016,"Mar","Midland Regional Hospital Tullamore","65+",2448
2016,"Mar","Naas General Hospital"," 0-15",5
2016,"Mar","Naas General Hospital","16-64",4046
2016,"Mar","Naas General Hospital","65+",1179
2016,"Mar","Nenagh Hospital"," 0-15",203
2016,"Mar","Nenagh Hospital","16-64",1149
2016,"Mar","Nenagh Hospital","65+",359
2016,"Mar","Our Lady of Lourdes Hospital Drogheda"," 0-15",3293
2016,"Mar","Our Lady of Lourdes Hospital Drogheda","16-64",6422
2016,"Mar","Our Lady of Lourdes Hospital Drogheda","65+",1907
2016,"Mar","Our Lady's Children's Hospital Crumlin"," 0-15",11966
2016,"Mar","Our Lady's Children's Hospital Crumlin","16-64",301
2016,"Mar","Our Lady's Hospital Navan"," 0-15",33
2016,"Mar","Our Lady's Hospital Navan","16-64",3329
2016,"Mar","Our Lady's Hospital Navan","65+",1125
2016,"Mar","Portiuncula Hospital"," 0-15",590
2016,"Mar","Portiuncula Hospital","16-64",1982
2016,"Mar","Portiuncula Hospital","65+",531
2016,"Mar","Roscommon Hospital"," 0-15",227
2016,"Mar","Roscommon Hospital","16-64",1331
2016,"Mar","Roscommon Hospital","65+",691
2016,"Mar","Rotunda Hospital"," 0-15",9
2016,"Mar","Rotunda Hospital","16-64",1703
2016,"Mar","Rotunda Hospital","65+",106
2016,"Mar","Royal Victoria Eye and Ear Hospital"," 0-15",1040
2016,"Mar","Royal Victoria Eye and Ear Hospital","16-64",3962
2016,"Mar","Royal Victoria Eye and Ear Hospital","65+",2772
2016,"Mar","Sligo Regional Hospital"," 0-15",1430
2016,"Mar","Sligo Regional Hospital","16-64",6051
2016,"Mar","Sligo Regional Hospital","65+",2831
2016,"Mar","South Infirmary Victoria University Hospital"," 0-15",3173
2016,"Mar","South Infirmary Victoria University Hospital","16-64",11804
2016,"Mar","South Infirmary Victoria University Hospital","65+",3383
2016,"Mar","South Tipperary General Hospital"," 0-15",560
2016,"Mar","South Tipperary General Hospital","16-64",2292
2016,"Mar","South Tipperary General Hospital","65+",865
2016,"Mar","St. Columcille's Hospital"," 0-15",6
2016,"Mar","St. Columcille's Hospital","16-64",2146
2016,"Mar","St. Columcille's Hospital","65+",615
2016,"Mar","St. James's Hospital"," 0-15",131
2016,"Mar","St. James's Hospital","16-64",11100
2016,"Mar","St. James's Hospital","65+",3079
2016,"Mar","St. John's Hospital Limerick"," 0-15",32
2016,"Mar","St. John's Hospital Limerick","16-64",940
2016,"Mar","St. John's Hospital Limerick","65+",260
2016,"Mar","St. Luke's General Hospital Kilkenny"," 0-15",364
2016,"Mar","St. Luke's General Hospital Kilkenny","16-64",1917
2016,"Mar","St. Luke's General Hospital Kilkenny","65+",530
2016,"Mar","St. Michael's Hospital Dun Laoghaire"," 0-15",222
2016,"Mar","St. Michael's Hospital Dun Laoghaire","16-64",1488
2016,"Mar","St. Michael's Hospital Dun Laoghaire","65+",513
2016,"Mar","St. Vincent's University Hospital"," 0-15",39
2016,"Mar","St. Vincent's University Hospital","16-64",12021
2016,"Mar","St. Vincent's University Hospital","65+",3878
2016,"Mar","Tallaght Children's Hospital"," 0-15",5973
2016,"Mar","Tallaght Children's Hospital","16-64",115
2016,"Mar","Tallaght Hospital","NA",1
2016,"Mar","Tallaght Hospital"," 0-15",162
2016,"Mar","Tallaght Hospital","16-64",16069
2016,"Mar","Tallaght Hospital","65+",3708
2016,"Mar","University Hospital Limerick"," 0-15",2657
2016,"Mar","University Hospital Limerick","16-64",13742
2016,"Mar","University Hospital Limerick","65+",4996
2016,"Mar","University Hospital Waterford"," 0-15",2713
2016,"Mar","University Hospital Waterford","16-64",14433
2016,"Mar","University Hospital Waterford","65+",5772
2016,"Mar","Wexford General Hospital","NA",1
2016,"Mar","Wexford General Hospital"," 0-15",586
2016,"Mar","Wexford General Hospital","16-64",2065
2016,"Mar","Wexford General Hospital","65+",595
2016,"Apr","Bantry General Hospital"," 0-15",52
2016,"Apr","Bantry General Hospital","16-64",1008
2016,"Apr","Bantry General Hospital","65+",577
2016,"Apr","Beaumont Hospital","NA",5
2016,"Apr","Beaumont Hospital"," 0-15",610
2016,"Apr","Beaumont Hospital","16-64",19924
2016,"Apr","Beaumont Hospital","65+",6176
2016,"Apr","Cappagh National Orthopaedic Hospital"," 0-15",25
2016,"Apr","Cappagh National Orthopaedic Hospital","16-64",841
2016,"Apr","Cappagh National Orthopaedic Hospital","65+",385
2016,"Apr","Cavan General Hospital"," 0-15",1099
2016,"Apr","Cavan General Hospital","16-64",5142
2016,"Apr","Cavan General Hospital","65+",1750
2016,"Apr","Childrens University Hospital Temple Street"," 0-15",11499
2016,"Apr","Childrens University Hospital Temple Street","16-64",256
2016,"Apr","Childrens University Hospital Temple Street","65+",2
2016,"Apr","Connolly Hospital","NA",2
2016,"Apr","Connolly Hospital"," 0-15",3
2016,"Apr","Connolly Hospital","16-64",9194
2016,"Apr","Connolly Hospital","65+",2164
2016,"Apr","Cork University Hospital"," 0-15",3320
2016,"Apr","Cork University Hospital","16-64",15641
2016,"Apr","Cork University Hospital","65+",5395
2016,"Apr","Croom Orthopaedic Hospital"," 0-15",236
2016,"Apr","Croom Orthopaedic Hospital","16-64",3086
2016,"Apr","Croom Orthopaedic Hospital","65+",1255
2016,"Apr","Ennis Hospital"," 0-15",310
2016,"Apr","Ennis Hospital","16-64",992
2016,"Apr","Ennis Hospital","65+",379
2016,"Apr","Galway University Hospital"," 0-15",4152
2016,"Apr","Galway University Hospital","16-64",20756
2016,"Apr","Galway University Hospital","65+",6300
2016,"Apr","Kerry General Hospital"," 0-15",693
2016,"Apr","Kerry General Hospital","16-64",5171
2016,"Apr","Kerry General Hospital","65+",1648
2016,"Apr","Letterkenny General Hospital"," 0-15",1726
2016,"Apr","Letterkenny General Hospital","16-64",8650
2016,"Apr","Letterkenny General Hospital","65+",3001
2016,"Apr","Louth County Hospital"," 0-15",123
2016,"Apr","Louth County Hospital","16-64",1858
2016,"Apr","Louth County Hospital","65+",749
2016,"Apr","Mallow General Hospital"," 0-15",220
2016,"Apr","Mallow General Hospital","16-64",1632
2016,"Apr","Mallow General Hospital","65+",568
2016,"Apr","Mater Misericordiae University Hospital"," 0-15",42
2016,"Apr","Mater Misericordiae University Hospital","16-64",17942
2016,"Apr","Mater Misericordiae University Hospital","65+",7102
2016,"Apr","Mayo General Hospital"," 0-15",1355
2016,"Apr","Mayo General Hospital","16-64",3251
2016,"Apr","Mayo General Hospital","65+",1404
2016,"Apr","Mercy University Hospital"," 0-15",569
2016,"Apr","Mercy University Hospital","16-64",4032
2016,"Apr","Mercy University Hospital","65+",1171
2016,"Apr","Midland Regional Hospital Mullingar"," 0-15",1059
2016,"Apr","Midland Regional Hospital Mullingar","16-64",3812
2016,"Apr","Midland Regional Hospital Mullingar","65+",964
2016,"Apr","Midland Regional Hospital Portlaoise"," 0-15",567
2016,"Apr","Midland Regional Hospital Portlaoise","16-64",2457
2016,"Apr","Midland Regional Hospital Portlaoise","65+",738
2016,"Apr","Midland Regional Hospital Tullamore"," 0-15",2701
2016,"Apr","Midland Regional Hospital Tullamore","16-64",7683
2016,"Apr","Midland Regional Hospital Tullamore","65+",2458
2016,"Apr","Naas General Hospital"," 0-15",6
2016,"Apr","Naas General Hospital","16-64",4083
2016,"Apr","Naas General Hospital","65+",1210
2016,"Apr","Nenagh Hospital"," 0-15",207
2016,"Apr","Nenagh Hospital","16-64",1163
2016,"Apr","Nenagh Hospital","65+",368
2016,"Apr","Our Lady of Lourdes Hospital Drogheda"," 0-15",3428
2016,"Apr","Our Lady of Lourdes Hospital Drogheda","16-64",6419
2016,"Apr","Our Lady of Lourdes Hospital Drogheda","65+",1877
2016,"Apr","Our Lady's Children's Hospital Crumlin"," 0-15",12234
2016,"Apr","Our Lady's Children's Hospital Crumlin","16-64",297
2016,"Apr","Our Lady's Hospital Navan"," 0-15",34
2016,"Apr","Our Lady's Hospital Navan","16-64",3396
2016,"Apr","Our Lady's Hospital Navan","65+",1164
2016,"Apr","Portiuncula Hospital"," 0-15",591
2016,"Apr","Portiuncula Hospital","16-64",1989
2016,"Apr","Portiuncula Hospital","65+",575
2016,"Apr","Roscommon Hospital"," 0-15",232
2016,"Apr","Roscommon Hospital","16-64",1403
2016,"Apr","Roscommon Hospital","65+",732
2016,"Apr","Rotunda Hospital"," 0-15",6
2016,"Apr","Rotunda Hospital","16-64",1705
2016,"Apr","Rotunda Hospital","65+",122
2016,"Apr","Royal Victoria Eye and Ear Hospital"," 0-15",976
2016,"Apr","Royal Victoria Eye and Ear Hospital","16-64",4129
2016,"Apr","Royal Victoria Eye and Ear Hospital","65+",2782
2016,"Apr","Sligo Regional Hospital"," 0-15",1462
2016,"Apr","Sligo Regional Hospital","16-64",6053
2016,"Apr","Sligo Regional Hospital","65+",2813
2016,"Apr","South Infirmary Victoria University Hospital"," 0-15",3193
2016,"Apr","South Infirmary Victoria University Hospital","16-64",12029
2016,"Apr","South Infirmary Victoria University Hospital","65+",3425
2016,"Apr","South Tipperary General Hospital"," 0-15",566
2016,"Apr","South Tipperary General Hospital","16-64",2333
2016,"Apr","South Tipperary General Hospital","65+",879
2016,"Apr","St. Columcille's Hospital"," 0-15",7
2016,"Apr","St. Columcille's Hospital","16-64",2078
2016,"Apr","St. Columcille's Hospital","65+",622
2016,"Apr","St. James's Hospital"," 0-15",125
2016,"Apr","St. James's Hospital","16-64",11126
2016,"Apr","St. James's Hospital","65+",3027
2016,"Apr","St. John's Hospital Limerick"," 0-15",32
2016,"Apr","St. John's Hospital Limerick","16-64",940
2016,"Apr","St. John's Hospital Limerick","65+",260
2016,"Apr","St. Luke's General Hospital Kilkenny"," 0-15",385
2016,"Apr","St. Luke's General Hospital Kilkenny","16-64",1928
2016,"Apr","St. Luke's General Hospital Kilkenny","65+",580
2016,"Apr","St. Michael's Hospital Dun Laoghaire"," 0-15",209
2016,"Apr","St. Michael's Hospital Dun Laoghaire","16-64",1694
2016,"Apr","St. Michael's Hospital Dun Laoghaire","65+",542
2016,"Apr","St. Vincent's University Hospital"," 0-15",47
2016,"Apr","St. Vincent's University Hospital","16-64",12394
2016,"Apr","St. Vincent's University Hospital","65+",3956
2016,"Apr","Tallaght Children's Hospital"," 0-15",6037
2016,"Apr","Tallaght Children's Hospital","16-64",109
2016,"Apr","Tallaght Hospital","NA",1
2016,"Apr","Tallaght Hospital"," 0-15",156
2016,"Apr","Tallaght Hospital","16-64",15767
2016,"Apr","Tallaght Hospital","65+",3688
2016,"Apr","University Hospital Limerick"," 0-15",2851
2016,"Apr","University Hospital Limerick","16-64",14320
2016,"Apr","University Hospital Limerick","65+",5250
2016,"Apr","University Hospital Waterford"," 0-15",2914
2016,"Apr","University Hospital Waterford","16-64",15172
2016,"Apr","University Hospital Waterford","65+",6043
2016,"Apr","Wexford General Hospital","NA",1
2016,"Apr","Wexford General Hospital"," 0-15",578
2016,"Apr","Wexford General Hospital","16-64",2040
2016,"Apr","Wexford General Hospital","65+",615
2016,"May","Bantry General Hospital"," 0-15",50
2016,"May","Bantry General Hospital","16-64",964
2016,"May","Bantry General Hospital","65+",560
2016,"May","Beaumont Hospital","NA",1
2016,"May","Beaumont Hospital"," 0-15",632
2016,"May","Beaumont Hospital","16-64",19870
2016,"May","Beaumont Hospital","65+",6233
2016,"May","Cappagh National Orthopaedic Hospital"," 0-15",34
2016,"May","Cappagh National Orthopaedic Hospital","16-64",836
2016,"May","Cappagh National Orthopaedic Hospital","65+",402
2016,"May","Cavan General Hospital"," 0-15",1089
2016,"May","Cavan General Hospital","16-64",5032
2016,"May","Cavan General Hospital","65+",1780
2016,"May","Childrens University Hospital Temple Street"," 0-15",12579
2016,"May","Childrens University Hospital Temple Street","16-64",275
2016,"May","Childrens University Hospital Temple Street","65+",2
2016,"May","Connolly Hospital","NA",3
2016,"May","Connolly Hospital"," 0-15",3
2016,"May","Connolly Hospital","16-64",9418
2016,"May","Connolly Hospital","65+",2271
2016,"May","Cork University Hospital"," 0-15",3313
2016,"May","Cork University Hospital","16-64",15984
2016,"May","Cork University Hospital","65+",5466
2016,"May","Croom Orthopaedic Hospital"," 0-15",245
2016,"May","Croom Orthopaedic Hospital","16-64",3217
2016,"May","Croom Orthopaedic Hospital","65+",1315
2016,"May","Ennis Hospital"," 0-15",334
2016,"May","Ennis Hospital","16-64",1066
2016,"May","Ennis Hospital","65+",416
2016,"May","Galway University Hospital"," 0-15",4190
2016,"May","Galway University Hospital","16-64",20771
2016,"May","Galway University Hospital","65+",6456
2016,"May","Kerry General Hospital"," 0-15",693
2016,"May","Kerry General Hospital","16-64",5347
2016,"May","Kerry General Hospital","65+",1714
2016,"May","Letterkenny General Hospital"," 0-15",1752
2016,"May","Letterkenny General Hospital","16-64",8548
2016,"May","Letterkenny General Hospital","65+",3069
2016,"May","Louth County Hospital"," 0-15",131
2016,"May","Louth County Hospital","16-64",1845
2016,"May","Louth County Hospital","65+",756
2016,"May","Mallow General Hospital"," 0-15",220
2016,"May","Mallow General Hospital","16-64",1685
2016,"May","Mallow General Hospital","65+",562
2016,"May","Mater Misericordiae University Hospital"," 0-15",41
2016,"May","Mater Misericordiae University Hospital","16-64",18267
2016,"May","Mater Misericordiae University Hospital","65+",7211
2016,"May","Mayo General Hospital"," 0-15",1428
2016,"May","Mayo General Hospital","16-64",3375
2016,"May","Mayo General Hospital","65+",1492
2016,"May","Mercy University Hospital"," 0-15",552
2016,"May","Mercy University Hospital","16-64",3941
2016,"May","Mercy University Hospital","65+",1088
2016,"May","Midland Regional Hospital Mullingar"," 0-15",1097
2016,"May","Midland Regional Hospital Mullingar","16-64",3909
2016,"May","Midland Regional Hospital Mullingar","65+",993
2016,"May","Midland Regional Hospital Portlaoise"," 0-15",545
2016,"May","Midland Regional Hospital Portlaoise","16-64",2493
2016,"May","Midland Regional Hospital Portlaoise","65+",733
2016,"May","Midland Regional Hospital Tullamore"," 0-15",2797
2016,"May","Midland Regional Hospital Tullamore","16-64",7638
2016,"May","Midland Regional Hospital Tullamore","65+",2432
2016,"May","Naas General Hospital"," 0-15",6
2016,"May","Naas General Hospital","16-64",4162
2016,"May","Naas General Hospital","65+",1224
2016,"May","Nenagh Hospital"," 0-15",211
2016,"May","Nenagh Hospital","16-64",1151
2016,"May","Nenagh Hospital","65+",380
2016,"May","Our Lady of Lourdes Hospital Drogheda"," 0-15",3528
2016,"May","Our Lady of Lourdes Hospital Drogheda","16-64",6635
2016,"May","Our Lady of Lourdes Hospital Drogheda","65+",1982
2016,"May","Our Lady's Children's Hospital Crumlin"," 0-15",12634
2016,"May","Our Lady's Children's Hospital Crumlin","16-64",318
2016,"May","Our Lady's Hospital Navan"," 0-15",40
2016,"May","Our Lady's Hospital Navan","16-64",3372
2016,"May","Our Lady's Hospital Navan","65+",1166
2016,"May","Portiuncula Hospital"," 0-15",614
2016,"May","Portiuncula Hospital","16-64",1992
2016,"May","Portiuncula Hospital","65+",563
2016,"May","Roscommon Hospital"," 0-15",258
2016,"May","Roscommon Hospital","16-64",1482
2016,"May","Roscommon Hospital","65+",840
2016,"May","Rotunda Hospital"," 0-15",10
2016,"May","Rotunda Hospital","16-64",1839
2016,"May","Rotunda Hospital","65+",125
2016,"May","Royal Victoria Eye and Ear Hospital"," 0-15",1020
2016,"May","Royal Victoria Eye and Ear Hospital","16-64",4301
2016,"May","Royal Victoria Eye and Ear Hospital","65+",2885
2016,"May","Sligo Regional Hospital"," 0-15",1430
2016,"May","Sligo Regional Hospital","16-64",6105
2016,"May","Sligo Regional Hospital","65+",2911
2016,"May","South Infirmary Victoria University Hospital"," 0-15",3320
2016,"May","South Infirmary Victoria University Hospital","16-64",12204
2016,"May","South Infirmary Victoria University Hospital","65+",3426
2016,"May","South Tipperary General Hospital"," 0-15",572
2016,"May","South Tipperary General Hospital","16-64",2277
2016,"May","South Tipperary General Hospital","65+",867
2016,"May","St. Columcille's Hospital"," 0-15",11
2016,"May","St. Columcille's Hospital","16-64",2129
2016,"May","St. Columcille's Hospital","65+",652
2016,"May","St. James's Hospital"," 0-15",116
2016,"May","St. James's Hospital","16-64",11381
2016,"May","St. James's Hospital","65+",3081
2016,"May","St. John's Hospital Limerick"," 0-15",32
2016,"May","St. John's Hospital Limerick","16-64",940
2016,"May","St. John's Hospital Limerick","65+",260
2016,"May","St. Luke's General Hospital Kilkenny"," 0-15",366
2016,"May","St. Luke's General Hospital Kilkenny","16-64",1957
2016,"May","St. Luke's General Hospital Kilkenny","65+",602
2016,"May","St. Michael's Hospital Dun Laoghaire"," 0-15",227
2016,"May","St. Michael's Hospital Dun Laoghaire","16-64",1744
2016,"May","St. Michael's Hospital Dun Laoghaire","65+",573
2016,"May","St. Vincent's University Hospital"," 0-15",41
2016,"May","St. Vincent's University Hospital","16-64",12349
2016,"May","St. Vincent's University Hospital","65+",3971
2016,"May","Tallaght Children's Hospital"," 0-15",5687
2016,"May","Tallaght Children's Hospital","16-64",105
2016,"May","Tallaght Hospital","NA",1
2016,"May","Tallaght Hospital"," 0-15",163
2016,"May","Tallaght Hospital","16-64",15651
2016,"May","Tallaght Hospital","65+",3795
2016,"May","University Hospital Limerick"," 0-15",2936
2016,"May","University Hospital Limerick","16-64",14438
2016,"May","University Hospital Limerick","65+",5374
2016,"May","University Hospital Waterford"," 0-15",3153
2016,"May","University Hospital Waterford","16-64",16837
2016,"May","University Hospital Waterford","65+",6753
2016,"May","Wexford General Hospital"," 0-15",557
2016,"May","Wexford General Hospital","16-64",2062
2016,"May","Wexford General Hospital","65+",629
2016,"Jun","Bantry General Hospital"," 0-15",44
2016,"Jun","Bantry General Hospital","16-64",953
2016,"Jun","Bantry General Hospital","65+",581
2016,"Jun","Beaumont Hospital"," 0-15",581
2016,"Jun","Beaumont Hospital","16-64",19810
2016,"Jun","Beaumont Hospital","65+",6249
2016,"Jun","Cappagh National Orthopaedic Hospital"," 0-15",34
2016,"Jun","Cappagh National Orthopaedic Hospital","16-64",865
2016,"Jun","Cappagh National Orthopaedic Hospital","65+",415
2016,"Jun","Cavan General Hospital"," 0-15",1116
2016,"Jun","Cavan General Hospital","16-64",5130
2016,"Jun","Cavan General Hospital","65+",1770
2016,"Jun","Childrens University Hospital Temple Street"," 0-15",12907
2016,"Jun","Childrens University Hospital Temple Street","16-64",294
2016,"Jun","Childrens University Hospital Temple Street","65+",2
2016,"Jun","Connolly Hospital","NA",3
2016,"Jun","Connolly Hospital"," 0-15",3
2016,"Jun","Connolly Hospital","16-64",9442
2016,"Jun","Connolly Hospital","65+",2311
2016,"Jun","Cork University Hospital"," 0-15",3391
2016,"Jun","Cork University Hospital","16-64",16171
2016,"Jun","Cork University Hospital","65+",5688
2016,"Jun","Croom Orthopaedic Hospital"," 0-15",251
2016,"Jun","Croom Orthopaedic Hospital","16-64",3342
2016,"Jun","Croom Orthopaedic Hospital","65+",1389
2016,"Jun","Ennis Hospital"," 0-15",350
2016,"Jun","Ennis Hospital","16-64",1116
2016,"Jun","Ennis Hospital","65+",429
2016,"Jun","Galway University Hospital"," 0-15",4268
2016,"Jun","Galway University Hospital","16-64",20827
2016,"Jun","Galway University Hospital","65+",6399
2016,"Jun","Kerry General Hospital"," 0-15",750
2016,"Jun","Kerry General Hospital","16-64",5496
2016,"Jun","Kerry General Hospital","65+",1792
2016,"Jun","Letterkenny General Hospital"," 0-15",1692
2016,"Jun","Letterkenny General Hospital","16-64",8450
2016,"Jun","Letterkenny General Hospital","65+",3054
2016,"Jun","Louth County Hospital"," 0-15",127
2016,"Jun","Louth County Hospital","16-64",1905
2016,"Jun","Louth County Hospital","65+",755
2016,"Jun","Mallow General Hospital"," 0-15",212
2016,"Jun","Mallow General Hospital","16-64",1633
2016,"Jun","Mallow General Hospital","65+",516
2016,"Jun","Mater Misericordiae University Hospital"," 0-15",64
2016,"Jun","Mater Misericordiae University Hospital","16-64",17410
2016,"Jun","Mater Misericordiae University Hospital","65+",7167
2016,"Jun","Mayo General Hospital"," 0-15",1447
2016,"Jun","Mayo General Hospital","16-64",3409
2016,"Jun","Mayo General Hospital","65+",1462
2016,"Jun","Mercy University Hospital"," 0-15",539
2016,"Jun","Mercy University Hospital","16-64",3722
2016,"Jun","Mercy University Hospital","65+",1083
2016,"Jun","Midland Regional Hospital Mullingar"," 0-15",1150
2016,"Jun","Midland Regional Hospital Mullingar","16-64",4093
2016,"Jun","Midland Regional Hospital Mullingar","65+",1008
2016,"Jun","Midland Regional Hospital Portlaoise"," 0-15",547
2016,"Jun","Midland Regional Hospital Portlaoise","16-64",2392
2016,"Jun","Midland Regional Hospital Portlaoise","65+",768
2016,"Jun","Midland Regional Hospital Tullamore"," 0-15",2952
2016,"Jun","Midland Regional Hospital Tullamore","16-64",7726
2016,"Jun","Midland Regional Hospital Tullamore","65+",2454
2016,"Jun","Naas General Hospital"," 0-15",7
2016,"Jun","Naas General Hospital","16-64",4307
2016,"Jun","Naas General Hospital","65+",1260
2016,"Jun","Nenagh Hospital"," 0-15",217
2016,"Jun","Nenagh Hospital","16-64",1139
2016,"Jun","Nenagh Hospital","65+",369
2016,"Jun","Our Lady of Lourdes Hospital Drogheda"," 0-15",3607
2016,"Jun","Our Lady of Lourdes Hospital Drogheda","16-64",6675
2016,"Jun","Our Lady of Lourdes Hospital Drogheda","65+",1951
2016,"Jun","Our Lady's Children's Hospital Crumlin"," 0-15",12736
2016,"Jun","Our Lady's Children's Hospital Crumlin","16-64",350
2016,"Jun","Our Lady's Hospital Navan"," 0-15",39
2016,"Jun","Our Lady's Hospital Navan","16-64",3466
2016,"Jun","Our Lady's Hospital Navan","65+",1208
2016,"Jun","Portiuncula Hospital"," 0-15",631
2016,"Jun","Portiuncula Hospital","16-64",2006
2016,"Jun","Portiuncula Hospital","65+",579
2016,"Jun","Roscommon Hospital"," 0-15",190
2016,"Jun","Roscommon Hospital","16-64",1448
2016,"Jun","Roscommon Hospital","65+",807
2016,"Jun","Rotunda Hospital"," 0-15",10
2016,"Jun","Rotunda Hospital","16-64",1865
2016,"Jun","Rotunda Hospital","65+",132
2016,"Jun","Royal Victoria Eye and Ear Hospital"," 0-15",1057
2016,"Jun","Royal Victoria Eye and Ear Hospital","16-64",4300
2016,"Jun","Royal Victoria Eye and Ear Hospital","65+",2883
2016,"Jun","Sligo Regional Hospital"," 0-15",1415
2016,"Jun","Sligo Regional Hospital","16-64",6155
2016,"Jun","Sligo Regional Hospital","65+",2947
2016,"Jun","South Infirmary Victoria University Hospital"," 0-15",3230
2016,"Jun","South Infirmary Victoria University Hospital","16-64",12097
2016,"Jun","South Infirmary Victoria University Hospital","65+",3427
2016,"Jun","South Tipperary General Hospital"," 0-15",559
2016,"Jun","South Tipperary General Hospital","16-64",2290
2016,"Jun","South Tipperary General Hospital","65+",885
2016,"Jun","St. Columcille's Hospital"," 0-15",8
2016,"Jun","St. Columcille's Hospital","16-64",2157
2016,"Jun","St. Columcille's Hospital","65+",639
2016,"Jun","St. James's Hospital"," 0-15",125
2016,"Jun","St. James's Hospital","16-64",11626
2016,"Jun","St. James's Hospital","65+",3200
2016,"Jun","St. John's Hospital Limerick"," 0-15",32
2016,"Jun","St. John's Hospital Limerick","16-64",940
2016,"Jun","St. John's Hospital Limerick","65+",260
2016,"Jun","St. Luke's General Hospital Kilkenny"," 0-15",381
2016,"Jun","St. Luke's General Hospital Kilkenny","16-64",2013
2016,"Jun","St. Luke's General Hospital Kilkenny","65+",616
2016,"Jun","St. Michael's Hospital Dun Laoghaire"," 0-15",231
2016,"Jun","St. Michael's Hospital Dun Laoghaire","16-64",1872
2016,"Jun","St. Michael's Hospital Dun Laoghaire","65+",659
2016,"Jun","St. Vincent's University Hospital"," 0-15",43
2016,"Jun","St. Vincent's University Hospital","16-64",12387
2016,"Jun","St. Vincent's University Hospital","65+",4039
2016,"Jun","Tallaght Children's Hospital"," 0-15",5880
2016,"Jun","Tallaght Children's Hospital","16-64",121
2016,"Jun","Tallaght Hospital","NA",1
2016,"Jun","Tallaght Hospital"," 0-15",152
2016,"Jun","Tallaght Hospital","16-64",16355
